text,label
"The streetlight at the main intersection is not working.",streetlight
"There's a massive pile of garbage near the community hall.",garbage
"A deep pothole on Station Road is causing traffic jams.",potholes
"Hamari gali ki light pichle 10 din se kharab hai.",streetlight
"Market me har taraf gandagi faili hui hai.",garbage
"Ye sadak gaddho se bhari hui hai, chalna mushkil hai.",potholes
"Hamar mohalla ke batti kab bani?",streetlight
"Kachra wala gaadi time par naikhe aawat.",garbage
"Rasta etna tutal ba ki gaadi bounce karela.",potholes
"Streetlight on pole #54 has been flickering for a week.",streetlight
"The dustbin outside the park is overflowing with trash.",garbage
"My car's axle broke because of a huge pothole.",potholes
"Raat me andhera rehta hai, koi sunwai nahi ho rahi.",streetlight
"Kachra ab sadak par aa gaya hai.",garbage
"Gaddhe me girkar ek aadmi ko chot lag gayi.",potholes
"Battiya ekdam dim jare la, kuchh dekhat naikhe.",streetlight
"Kudedaan se itni badbu aati hai ki khada nahi ho sakte.",garbage
"Sarak par khali gitti aur pathar padal ba.",potholes
"A wire is dangling from the streetlight pole, it's very risky.",streetlight
"Please arrange for daily garbage collection in our locality.",garbage
"This road needs urgent repairs before a major accident happens.",potholes
"Is poori lane me ek bhi streetlight nahi jal rahi.",streetlight
"Plastic kachra nali me jaam ho gaya hai.",garbage
"The pothole is getting bigger with every rainfall.",potholes
"Khamba number 7 ke batti fuse ho gail ba.",streetlight
"Hospital ke bahar hi kachre ka ambaar laga hai.",garbage
"Gaddhe ke upar se car le jaane me dar lagta hai.",potholes
"The streetlight timer is faulty; it stays on all day.",streetlight
"No one has cleaned this area for weeks.",garbage
"The road surface is completely chipped away.",potholes
"Is light ke na hone se chori ka khatra badh gaya hai.",streetlight
"The garbage collector simply refuses to come to our lane.",garbage
"My daily commute has become a nightmare due to these potholes.",potholes
"Polewa teda ho gail ba, kabo gir sakela.",streetlight
"Kachra me se jaanwar khana dhoondhte hain aur failate hain.",garbage
"Ek chhota sa gaddha ab talab ban gaya hai.",potholes
"The light is making a strange buzzing sound.",streetlight
"We are paying taxes, why is there no cleanliness?",garbage
"The road was supposedly repaired, but the quality is terrible.",potholes
"Children can't play outside in the evening because it's too dark.",streetlight
"The smell from the garbage is making people sick.",garbage
"Driving on this road feels like an off-road adventure.",potholes
"Batti ke sheesha tutal ba.",streetlight
"Kachra gaadi ka horn kharab hai, pata hi nahi chalta kab aayi.",garbage
"The city's roads are a shame.",potholes
"A branch has fallen on the streetlight, blocking the light.",streetlight
"The waste segregation program is a complete failure here.",garbage
"The pothole is right at a blind curve, making it more dangerous.",potholes
"Raat me office se lautne me dar lagta hai.",streetlight
"Kachra ab hamare darwaze tak aa gaya hai.",garbage
"The temporary patch work on the pothole came off in a day.",potholes
"Khamba zung lag ke kamjor ho gail ba.",streetlight
"Please provide a larger community dustbin.",garbage
"The road is so bad, it's damaging our vehicles permanently.",potholes
"The streetlight is of a strange pink color and very dim.",streetlight
"Construction debris has been lying here for over a month.",garbage
"The manhole is open, creating a dangerous pothole.",potholes
"The light seems to have a loose connection.",streetlight
"The garbage truck is leaking fluid all over the street.",garbage
"My back pain has gotten worse from driving on this road.",potholes
"Gali ke batti kab theek hogi?",streetlight
"Kachra.",garbage
"Gaddha.",potholes
"Light off.",streetlight
"Gandagi hai.",garbage
"Road tutal ba.",potholes
"Batti kharab.",streetlight
"Kooda pada hai.",garbage
"Pothole.",potholes
"Streetlight not working.",streetlight
"Garbage problem.",garbage
"Bad road.",potholes
"Andhera hai.",streetlight
"Safai lao.",garbage
"Rasta kharab.",potholes
"No light.",streetlight
"Dirty area.",garbage
"Gaddhe hain.",potholes
"The light is broken.",streetlight
"So much trash.",garbage
"The road is damaged.",potholes
"Light jal nahi rahi.",streetlight
"Kachra uthao.",garbage
"Gaddha hai yahan.",potholes
"Batti butal ba.",streetlight
"Kachra saaf karo.",garbage
"Sarak theek karo.",potholes
"Streetlight is out.",streetlight
"Garbage needs to be cleared.",garbage
"Fix the pothole.",potholes
"The street is dark.",streetlight
"Clean this area.",garbage
"The road is broken.",potholes
"No light in the evening.",streetlight
"Too much waste.",garbage
"Dangerous pothole.",potholes
"The streetlight is fused.",streetlight
"Garbage dump.",garbage
"Repair the road.",potholes
"Light problem here.",streetlight
"Uncollected trash.",garbage
"The road is in a bad state.",potholes
"The lamp is not glowing.",streetlight
"The area is very unhygienic.",garbage
"There are many potholes on this street.",potholes
"Batti gul hai.",streetlight
"Kachre ka dher.",garbage
"Gaddho ki bharmaar.",potholes
"Lights have been faulty for a month.",streetlight
"This place has become a dumping ground.",garbage
"The condition of this road is pathetic.",potholes
"The entire lane is without light.",streetlight
"We are tired of complaining about the garbage.",garbage
"Driving here is a risk.",potholes
"Please install new streetlights.",streetlight
"The garbage collection is not happening properly.",garbage
"The road needs immediate attention.",potholes
"The main road light is not functional.",streetlight
"The smell is unbearable.",garbage
"The road is full of craters.",potholes
"It's risky for women to walk here at night.",streetlight
"Medical waste is mixed with regular garbage.",garbage
"The road has been dug up and left as it is.",potholes
"The streetlight wiring needs to be fixed.",streetlight
"The garbage truck doesn't cover our area.",garbage
"The road quality is extremely poor.",potholes
"Batti kab lagegi?",streetlight
